logFC	adj.P.Val	Gene Symbol	Probeset Type
0.171488409720498	0.542642489258014	THAP7	odd
0.1221208173953705	0.542642489258014	LSG1	even
-0.0759065327788245	0.542814114805705	PSMA2	even
0.119951337486697	0.543020311475205	MCF2L-AS1	odd
0.167904270341003	0.543020311475205	SSX3 /// SSX5 /// SSX7	odd
-0.19603870610374202	0.543049118684916	EP300	even
-0.116296187053478	0.543264205190736	WRAP73	odd
0.1675331547402265	0.543300940758389	LMO4	even
0.093596056720032	0.543300940758389	AK291611 /// TRGV7 /// TRGV7	odd
-0.392662327331308	0.543450205020641	SLCO2A1	odd
-0.177613545174277	0.543511167952721	XYLT2	odd
0.180973715590351	0.543621935808092	HMGB1P12 /// HMGB1P12	odd
-0.233013426496461	0.543869018910601	CCDC186	odd
-0.0410777598888856	0.935606043044876	WNK1	odd
0.09926630779051344	0.63633989408086	TSR3	even
0.051855564346442645	0.544181198501819	TRAFD1	even
0.279124356032337	0.54433661435872	SDHA	odd
0.0842564763871568	0.54433661435872	AP001062.7 /// C21orf2	even
0.0763541412389632	0.544353013929299	RAB35	even
0.12108242976517	0.54466286886384	UXS1	odd
0.0494634704405381	0.544766266426489	ZNF292	even
-0.1580829554698	0.544821585596138	C6orf47	odd
0.19771346256561498	0.54489438814854	FMR1	even
0.0890917485299099	0.562050051087055	SCLY	odd
-0.201347455891408	0.545237924958089	ATP6V1G1	odd
-0.1696655780043	0.623619089700572	B9D1	odd
